description,val_return,val_sortino,val_wr,robust_score,gpu_id,elapsed_s,job_id,timestamp
c70_tp03_slip0_lr3e-04_s42,,,,,0,276,acf30c7a,2026-03-24T05:20:28
c70_tp03_slip5_lr3e-04_s42,,,,,0,131,fbdc5e9d,2026-03-24T05:22:39
c70_tp03_slip5_lr3e-04_s42,3.123,4.43,0.5739,3.123,0,350,b33cc0d3,2026-03-24T08:13:54
c70_tp05_slip0_lr3e-04_s42,0.6803,2.7,0.5664,0.6803,0,314,1230ff5f,2026-03-24T08:19:09
c70_tp05_slip5_lr3e-04_s42,1.8854,3.67,0.5726,1.8854,0,315,b382d2e3,2026-03-24T08:24:24
c70_tp08_slip0_lr3e-04_s42,2.7382,4.45,0.6569,2.7382,0,427,b5f92202,2026-03-24T08:31:30
c70_tp08_slip5_lr3e-04_s42,2.9913,4.37,0.597,2.9913,0,421,423daf2c,2026-03-24T08:38:31
c70_tp05_slip5_muon_s42,0.3272,2.55,0.4818,0.3272,0,308,98a6f19c,2026-03-24T08:43:40
c70_tp03_slip0_lr3e-04_s123,0.2859,2.2,0.5172,0.2859,0,322,db336633,2026-03-24T08:49:01
c70_tp03_slip5_lr3e-04_s123,3.918,4.88,0.5687,3.918,0,567,72c9306e,2026-03-24T08:58:28
c70_tp05_slip0_lr3e-04_s123,1.6318,4.56,0.5774,1.6318,0,317,51d5e547,2026-03-24T09:03:45
c70_tp05_slip5_lr3e-04_s123,4.9556,5.19,0.6159,4.9556,0,478,e78d29eb,2026-03-24T09:11:43
c70_tp08_slip0_lr3e-04_s123,0.7257,4.54,0.5737,0.7257,0,318,1a141902,2026-03-24T09:17:01
c70_tp08_slip5_lr3e-04_s123,1.3983,3.14,0.5761,1.3983,0,326,9c933781,2026-03-24T09:34:12
c70_tp05_slip5_muon_s123,2.9692,4.26,0.708,2.9692,0,322,77cf7d61,2026-03-24T09:39:33
c70_tp03_slip5_lr3e-04_s7,0.9664,2.77,0.5506,0.9664,0,324,198a764b,2026-03-24T10:18:31
c70_tp05_slip0_lr3e-04_s7,-0.1692,-0.28,0.4851,-0.1692,0,313,a78d4dd8,2026-03-24T10:29:50
c70_tp05_slip5_lr3e-04_s7,4.965,5.63,0.6341,4.965,0,322,979b66a4,2026-03-24T10:35:12
