description,val_return,val_sortino,val_wr,robust_score,gpu_id,elapsed_s,job_id,timestamp
c70_tp05_slip5_long_s92,9.0972,6.96,0.6825,9.0972,0,1667,5df812d0,2026-03-25T06:14:13
c70_tp05_slip5_long_s71,8.7686,8.36,0.5421,8.7686,0,1619,9521c3e5,2026-03-25T06:41:12
c70_tp05_slip5_long_s118,7.7885,6.92,0.702,7.7885,0,1641,4914b3eb,2026-03-25T07:08:33
c70_tp05_slip5_long_s123,6.6551,5.95,0.6725,6.6551,0,1633,228af251,2026-03-25T07:35:47
c70_tp05_slip5_long_s129,1.3502,2.57,0.4992,1.3502,0,1578,8b13672d,2026-03-25T08:02:05
c70_tp05_slip5_long_s138,0.2686,2.1,0.4967,0.2686,0,1664,5582933e,2026-03-25T08:29:49
c70_tp05_slip5_long_s115,2.715,4.14,0.625,2.715,0,1220,cfac4fea,2026-03-25T08:50:08
c70_tp05_slip5_long_s101,0.5292,4.54,0.5711,0.5292,0,1810,aab1be72,2026-03-25T11:46:02
c70_tp05_slip5_long_s107,-0.2344,0.62,0.5802,-0.2344,0,1845,0c6ced74,2026-03-25T12:16:47
c70_tp05_slip5_long_s87,0.0925,1.81,0.5827,0.0925,0,1843,881c7a36,2026-03-25T12:47:30
