description,val_return,val_sortino,val_wr,robust_score,gpu_id,elapsed_s,job_id,timestamp
c70_tp05_slip5_s1,-0.0333,1.4,0.5806,-0.0333,0,351,00000001,2026-03-25T14:52:16
c70_tp05_slip5_s2,0.1537,1.48,0.5531,0.1537,0,310,00000002,2026-03-25T14:57:27
c70_tp05_slip5_s3,0.5738,2.2,0.6162,0.5738,0,316,00000003,2026-03-25T15:02:42
c70_tp05_slip5_s4,3.6177,6.2,0.6315,3.6177,0,332,00000004,2026-03-25T15:08:15
c70_tp05_slip5_s5,-0.3696,0.24,0.4437,-0.3696,0,352,00000005,2026-03-25T15:14:07
c70_tp05_slip5_s6,0.5331,3.24,0.6129,0.5331,0,310,00000006,2026-03-25T15:19:16
c70_tp05_slip5_s7,0.0155,11.8,0.5348,0.0155,0,354,00000007,2026-03-25T15:25:11
c70_tp05_slip5_s8,0.3112,1.97,0.5832,0.3112,0,314,00000008,2026-03-25T15:30:25
c70_tp05_slip5_s9,0.4954,3.52,0.5587,0.4954,0,311,00000009,2026-03-25T15:35:35
c70_tp05_slip5_s10,0.0048,1.7,0.5473,0.0048,0,345,0000000a,2026-03-25T15:41:20
c70_tp05_slip5_s11,-0.1673,0.24,0.4964,-0.1673,0,341,0000000b,2026-03-25T15:47:01
c70_tp05_slip5_s12,1.1557,4.05,0.5923,1.1557,0,318,0000000c,2026-03-25T15:52:19
c70_tp05_slip5_s13,0.7078,2.48,0.5263,0.7078,0,322,0000000d,2026-03-25T15:57:41
c70_tp05_slip5_s14,-0.2531,0.51,0.4778,-0.2531,0,351,0000000e,2026-03-25T16:03:32
c70_tp05_slip5_s15,2.7094,4.98,0.648,2.7094,0,398,0000000f,2026-03-25T16:10:10
c70_tp05_slip5_s16,0.1016,1.37,0.4972,0.1016,0,318,00000010,2026-03-25T16:15:28
c70_tp05_slip5_s17,0.7778,5.21,0.6083,0.7778,0,309,00000011,2026-03-25T16:20:37
c70_tp05_slip5_s18,0.6918,2.52,0.4926,0.6918,0,309,00000012,2026-03-25T16:25:47
c70_tp05_slip5_s19,0.101,1.59,0.5049,0.101,0,347,00000013,2026-03-25T16:31:33
c70_tp05_slip5_s20,2.4668,4.53,0.6134,2.4668,0,384,00000014,2026-03-25T16:37:57
c70_tp05_slip5_s21,0.9909,2.62,0.6175,0.9909,0,312,00000015,2026-03-25T17:39:48
c70_tp05_slip5_s22,,,,,0,8,00000016,2026-03-25T17:39:56
c70_tp05_slip5_s23,0.529,5.1,0.525,0.529,0,311,00000017,2026-03-25T17:45:07
c70_tp05_slip5_s24,0.2719,2.23,0.5965,0.2719,0,320,00000018,2026-03-25T17:50:27
c70_tp05_slip5_s25,1.7748,3.39,0.6462,1.7748,0,321,00000019,2026-03-25T17:55:48
c70_tp05_slip5_s26,0.5836,2.12,0.5806,0.5836,0,308,0000001a,2026-03-25T18:00:56
c70_tp05_slip5_s27,0.2228,1.99,0.5009,0.2228,0,311,0000001b,2026-03-25T18:06:07
c70_tp05_slip5_s28,3.4432,4.38,0.5884,3.4432,0,374,0000001c,2026-03-25T18:12:21
c70_tp05_slip5_s29,0.17,1.62,0.4536,0.17,0,309,0000001d,2026-03-25T18:17:31
c70_tp05_slip5_s30,-0.4196,-0.6,0.4534,-0.4196,0,334,0000001e,2026-03-25T18:23:05
c70_tp05_slip5_s31,-0.5283,-0.95,0.4603,-0.5283,0,331,0000001f,2026-03-25T18:28:36
c70_tp05_slip5_s32,1.8777,3.85,0.605,1.8777,0,373,00000020,2026-03-25T18:34:49
c70_tp05_slip5_s33,3.1676,4.2,0.6203,3.1676,0,374,00000021,2026-03-25T18:41:03
c70_tp05_slip5_s34,1.8225,3.4,0.5463,1.8225,0,327,00000022,2026-03-25T18:46:30
c70_tp05_slip5_s35,2.4755,4.84,0.5818,2.4755,0,353,00000023,2026-03-25T18:52:24
c70_tp05_slip5_s36,0.1015,1.72,0.4954,0.1015,0,332,00000024,2026-03-25T18:57:56
c70_tp05_slip5_s37,-0.3241,0.42,0.5242,-0.3241,0,334,00000025,2026-03-25T19:03:30
c70_tp05_slip5_s38,0.1424,1.98,0.5383,0.1424,0,307,00000026,2026-03-25T19:08:37
c70_tp05_slip5_s39,0.0899,1.44,0.583,0.0899,0,333,00000027,2026-03-25T19:14:10
c70_tp05_slip5_s40,0.412,2.19,0.5403,0.412,0,308,00000028,2026-03-25T19:19:18
c70_tp05_slip5_s41,0.9221,2.72,0.5418,0.9221,0,317,00000029,2026-03-25T19:24:35
c70_tp05_slip5_s42,1.7793,3.45,0.5654,1.7793,0,309,0000002a,2026-03-25T19:29:44
c70_tp05_slip5_s43,0.8886,4.84,0.5295,0.8886,0,308,0000002b,2026-03-25T19:34:53
