description,val_return,val_sortino,val_wr,robust_score,gpu_id,elapsed_s,job_id,timestamp
c70_tp05_slip5_s1,0.1619,1.89,0.4987,0.1619,0,370,6654df00,2026-03-24T11:14:28
c70_tp05_slip5_s2,-0.0254,1.04,0.5762,-0.0254,0,370,d6b82b98,2026-03-24T11:20:39
c70_tp05_slip5_s3,-0.2207,3.46,0.4856,-0.2207,0,367,be942cac,2026-03-24T11:26:46
c70_tp05_slip5_s4,-0.0518,0.88,0.4728,-0.0518,0,365,8f48391f,2026-03-24T11:32:51
c70_tp05_slip5_s5,1.5679,4.04,0.544,1.5679,0,337,5cb4608e,2026-03-24T11:38:28
c70_tp05_slip5_s6,-0.396,-2.54,0.5862,-0.396,0,310,75b51ce4,2026-03-24T11:43:39
c70_tp05_slip5_s8,4.2738,6.19,0.6722,4.2738,0,436,4750c99a,2026-03-24T11:50:55
c70_tp05_slip5_s9,0.2421,1.85,0.5047,0.2421,0,318,a39cd323,2026-03-24T11:56:13
c70_tp05_slip5_s10,-0.3248,-0.63,0.47,-0.3248,0,372,a3a6b392,2026-03-24T12:02:25
c70_tp05_slip5_s11,0.2635,2.43,0.553,0.2635,0,327,bd5c6a8f,2026-03-24T12:07:52
c70_tp05_slip5_s12,-0.2667,0.09,0.5216,-0.2667,0,376,8ecbbc5e,2026-03-24T12:14:08
c70_tp05_slip5_s13,0.0351,2.41,0.7201,0.0351,0,325,190cd571,2026-03-24T12:19:33
c70_tp05_slip5_s14,-0.4982,0.29,0.4202,-0.4982,0,352,e8b1bbff,2026-03-24T12:25:25
c70_tp05_slip5_s15,1.4359,3.09,0.6425,1.4359,0,318,582bfa64,2026-03-24T12:30:43
c70_tp05_slip5_s16,0.7867,2.64,0.5537,0.7867,0,333,69861a1c,2026-03-24T12:36:16
c70_tp05_slip5_s16,0.4257,1.65,0.5348,0.4257,0,305,69861a1c,2026-03-24T12:40:35
c70_tp05_slip5_s17,1.6892,4.25,0.5902,1.6892,0,325,a69f1430,2026-03-24T12:46:00
c70_tp05_slip5_s18,-0.3371,-1.51,0.4611,-0.3371,0,315,5f5c5f87,2026-03-24T12:51:15
c70_tp05_slip5_s19,6.628,5.75,0.7281,6.628,0,323,19eda245,2026-03-24T12:56:37
c70_tp05_slip5_s20,0.4259,2.4,0.5496,0.4259,0,305,a111e94d,2026-03-24T13:01:43
c70_tp05_slip5_s21,0.6062,2.65,0.6688,0.6062,0,306,13feac5f,2026-03-24T13:06:49
c70_tp05_slip5_s22,0.1847,1.44,0.4647,0.1847,0,306,3438f269,2026-03-24T13:11:55
c70_tp05_slip5_s23,-0.2994,0.15,0.5983,-0.2994,0,314,16ff12d6,2026-03-24T13:17:09
c70_tp05_slip5_s24,3.84,4.46,0.6207,3.84,0,308,a1a5379c,2026-03-24T13:22:17
c70_tp05_slip5_s25,0.613,2.91,0.5496,0.613,0,305,06067eed,2026-03-24T13:27:22
c70_tp05_slip5_s26,1.3043,3.12,0.5545,1.3043,0,320,aa2dfa9d,2026-03-24T13:32:42
