entry_offset_bps,exit_offset_bps,allocation_scale,confidence_threshold,fee_bps,train_sortino,train_return,train_max_dd,train_p10,val_sortino,val_return,val_max_dd,val_p10,num_train_windows,num_val_windows
-5,25,0.5,0.0,0.0,1.5890,0.0272,-0.0172,-0.0172,1.7542,0.0202,-0.0145,-0.0037,551,237
-5,20,0.5,0.0,0.0,1.5418,0.0261,-0.0174,-0.0192,1.6647,0.0193,-0.0145,-0.0047,551,237
0,25,0.5,0.0,0.0,1.5444,0.0262,-0.0175,-0.0168,1.5488,0.0183,-0.0145,-0.0050,551,237
-5,15,0.5,0.0,0.0,1.4799,0.0252,-0.0176,-0.0216,1.5272,0.0179,-0.0145,-0.0058,551,237
-5,25,0.75,0.0,0.0,1.5974,0.0408,-0.0258,-0.0259,1.7493,0.0301,-0.0217,-0.0061,551,237
0,20,0.5,0.0,0.0,1.4789,0.0251,-0.0176,-0.0188,1.4763,0.0173,-0.0145,-0.0062,551,237
5,25,0.5,0.0,0.0,1.4640,0.0244,-0.0177,-0.0195,1.4119,0.0166,-0.0146,-0.0065,551,237
-5,10,0.5,0.0,0.0,1.4178,0.0239,-0.0178,-0.0236,1.4198,0.0167,-0.0145,-0.0070,551,237
0,15,0.5,0.0,0.0,1.4416,0.0244,-0.0178,-0.0212,1.3986,0.0163,-0.0145,-0.0073,551,237
-5,20,0.75,0.0,0.0,1.5491,0.0392,-0.0261,-0.0289,1.6601,0.0288,-0.0217,-0.0076,551,237
5,20,0.5,0.0,0.0,1.4158,0.0231,-0.0179,-0.0215,1.3724,0.0157,-0.0146,-0.0077,551,237
10,25,0.5,0.0,0.0,1.3858,0.0224,-0.0179,-0.0221,1.2510,0.0147,-0.0146,-0.0080,551,237
0,25,0.75,0.0,0.0,1.5492,0.0394,-0.0262,-0.0252,1.5443,0.0274,-0.0218,-0.0081,551,237
-5,5,0.5,0.0,0.0,1.3544,0.0222,-0.0180,-0.0253,1.2725,0.0149,-0.0145,-0.0084,551,237
0,10,0.5,0.0,0.0,1.3863,0.0231,-0.0180,-0.0236,1.2853,0.0149,-0.0145,-0.0085,551,237
5,15,0.5,0.0,0.0,1.3594,0.0224,-0.0181,-0.0239,1.2218,0.0144,-0.0146,-0.0088,551,237
-5,25,1.0,0.0,0.0,1.6057,0.0545,-0.0344,-0.0345,1.7444,0.0397,-0.0289,-0.0088,551,237
-5,15,0.75,0.0,0.0,1.4860,0.0377,-0.0264,-0.0323,1.5228,0.0268,-0.0217,-0.0090,551,237
10,20,0.5,0.0,0.0,1.3352,0.0215,-0.0181,-0.0242,1.1598,0.0138,-0.0146,-0.0092,551,237
15,25,0.5,0.0,0.0,1.3025,0.0209,-0.0182,-0.0248,1.1015,0.0128,-0.0147,-0.0095,551,237
-5,0,0.5,0.0,0.0,1.2907,0.0208,-0.0181,-0.0274,1.1114,0.0130,-0.0145,-0.0096,551,237
0,20,0.75,0.0,0.0,1.4862,0.0378,-0.0264,-0.0283,1.4715,0.0259,-0.0218,-0.0097,551,237
0,5,0.5,0.0,0.0,1.3162,0.0214,-0.0182,-0.0257,1.1083,0.0133,-0.0145,-0.0097,551,237
5,10,0.5,0.0,0.0,1.3065,0.0211,-0.0182,-0.0261,1.0955,0.0130,-0.0146,-0.0099,551,237
5,25,0.75,0.0,0.0,1.4704,0.0365,-0.0265,-0.0292,1.4076,0.0247,-0.0219,-0.0100,551,237
10,15,0.5,0.0,0.0,1.2910,0.0206,-0.0183,-0.0264,1.0776,0.0124,-0.0146,-0.0102,551,237
-20,25,0.5,0.0,0.0,1.5711,0.0289,-0.0165,-0.0146,1.6554,0.0174,-0.0143,-0.0104,551,237
15,20,0.5,0.0,0.0,1.2510,0.0196,-0.0184,-0.0267,1.0204,0.0118,-0.0147,-0.0106,551,237
-5,20,1.0,0.0,0.0,1.5520,0.0523,-0.0347,-0.0386,1.6554,0.0380,-0.0289,-0.0107,551,237
-5,-5,0.5,0.0,0.0,1.2098,0.0191,-0.0184,-0.0298,0.9474,0.0114,-0.0145,-0.0108,551,237
-5,10,0.75,0.0,0.0,1.4229,0.0358,-0.0266,-0.0358,1.4167,0.0247,-0.0217,-0.0108,551,237
20,25,0.5,0.0,0.0,1.2238,0.0192,-0.0184,-0.0274,0.9163,0.0109,-0.0148,-0.0109,551,237
0,0,0.5,0.0,0.0,1.2401,0.0199,-0.0184,-0.0282,0.9852,0.0114,-0.0145,-0.0109,551,237
5,5,0.5,0.0,0.0,1.2303,0.0197,-0.0184,-0.0283,0.9699,0.0113,-0.0146,-0.0110,551,237
