trial,description,gpu_type,rank_metric,rank_score,val_return,val_sortino,val_wr,val_profitable_pct,train_return,train_sortino,train_wr,train_steps,elapsed_s,error,holdout_error,market_validation_error,replay_eval_error,holdout_robust_score,holdout_return_mean_pct,holdout_return_p25_pct,holdout_return_worst_pct,holdout_sortino_p25,holdout_max_drawdown_worst_pct,holdout_negative_return_rate,holdout_median_return_pct,holdout_p10_return_pct,holdout_median_sortino,holdout_p90_max_drawdown_pct,market_return_pct,market_sortino,market_max_drawdown_pct,market_trade_count,market_goodness_score,replay_daily_return_pct,replay_daily_sortino,replay_daily_max_drawdown_pct,replay_daily_trade_count,replay_hourly_return_pct,replay_hourly_sortino,replay_hourly_max_drawdown_pct,replay_hourly_trade_count,replay_hourly_order_count,replay_hourly_policy_return_pct,replay_hourly_policy_sortino,replay_hourly_policy_max_drawdown_pct,replay_hourly_policy_trade_count,replay_hourly_policy_order_count,smooth_score,smooth_error,smooth_5d_p10_sortino,smooth_15d_p10_sortino,smooth_30d_p10_sortino,smooth_60d_p10_sortino,smooth_90d_p10_sortino,hidden_size,lr,ent_coef,weight_decay,fill_slippage_bps,obs_norm,anneal_lr,anneal_ent,anneal_clip,lr_schedule,arch,fee_rate,trade_penalty,drawdown_penalty,downside_penalty,smooth_downside_penalty,smooth_downside_temperature,smoothness_penalty,gamma
0,baseline_anneal_lr,a40,val_return,-0.5139,-0.5139,-9.52,0.0,0.0,3.7276,18.99,0.73,14483456,233.44947052001953,,"Traceback (most recent call last): File ""<frozen runpy>"", line 198, in _run_module_as_main File ""<frozen runpy>"", line 88, in _run_code File ""/home/lee/code/stock/pufferlib_market/evaluate_holdout.py"", line 496, in <module> main() ~~~~^^ File ""/home/lee/code/stock/pufferlib_market/evaluate_holdout.py"", line 394, in main raise ValueError(f""MKTD too short for eval_hours={steps}: timesteps={T}"") V...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
1,obs_norm,a40,val_return,-0.4232,-0.4232,-8.31,0.3393,0.0,3.1283,21.75,0.59,14483456,236.7269947528839,,"Traceback (most recent call last): File ""<frozen runpy>"", line 198, in _run_module_as_main File ""<frozen runpy>"", line 88, in _run_code File ""/home/lee/code/stock/pufferlib_market/evaluate_holdout.py"", line 496, in <module> main() ~~~~^^ File ""/home/lee/code/stock/pufferlib_market/evaluate_holdout.py"", line 394, in main raise ValueError(f""MKTD too short for eval_hours={steps}: timesteps={T}"") V...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,True,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
2,cosine_lr,a40,val_return,-0.5139,-0.5139,-9.52,0.0,0.0,3.6694,18.93,1.0,14483456,229.10594367980957,,"Traceback (most recent call last): File ""<frozen runpy>"", line 198, in _run_module_as_main File ""<frozen runpy>"", line 88, in _run_code File ""/home/lee/code/stock/pufferlib_market/evaluate_holdout.py"", line 496, in <module> main() ~~~~^^ File ""/home/lee/code/stock/pufferlib_market/evaluate_holdout.py"", line 394, in main raise ValueError(f""MKTD too short for eval_hours={steps}: timesteps={T}"") V...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,cosine,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
3,ent_anneal,a40,val_return,-0.5143,-0.5143,-9.79,0.0,0.0,0.4256,5.86,0.89,14483456,230.1735053062439,,"Traceback (most recent call last): File ""<frozen runpy>"", line 198, in _run_module_as_main File ""<frozen runpy>"", line 88, in _run_code File ""/home/lee/code/stock/pufferlib_market/evaluate_holdout.py"", line 496, in <module> main() ~~~~^^ File ""/home/lee/code/stock/pufferlib_market/evaluate_holdout.py"", line 394, in main raise ValueError(f""MKTD too short for eval_hours={steps}: timesteps={T}"") V...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.08,0.0,0.0,False,True,True,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
4,trade_pen_05,a40,val_return,-0.6245,-0.6245,-13.28,0.0,0.0,7.1028,77.0,1.0,14483456,231.0891420841217,,"Traceback (most recent call last): File ""<frozen runpy>"", line 198, in _run_module_as_main File ""<frozen runpy>"", line 88, in _run_code File ""/home/lee/code/stock/pufferlib_market/evaluate_holdout.py"", line 496, in <module> main() ~~~~^^ File ""/home/lee/code/stock/pufferlib_market/evaluate_holdout.py"", line 394, in main raise ValueError(f""MKTD too short for eval_hours={steps}: timesteps={T}"") V...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
5,reg_combo_3,a40,val_return,0.6372,0.6372,11.46,0.4965,100.0,3.6157,13.8,0.57,14483456,234.75536131858826,,"Traceback (most recent call last): File ""<frozen runpy>"", line 198, in _run_module_as_main File ""<frozen runpy>"", line 88, in _run_code File ""/home/lee/code/stock/pufferlib_market/evaluate_holdout.py"", line 496, in <module> main() ~~~~^^ File ""/home/lee/code/stock/pufferlib_market/evaluate_holdout.py"", line 394, in main raise ValueError(f""MKTD too short for eval_hours={steps}: timesteps={T}"") V...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.08,0.005,5.0,True,True,True,False,cosine,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
6,robust_reg_tp005,a40,val_return,-0.5203,-0.5203,-10.64,0.0,0.0,0.0744,2.47,0.46,14483456,233.6705026626587,,"Traceback (most recent call last): File ""<frozen runpy>"", line 198, in _run_module_as_main File ""<frozen runpy>"", line 88, in _run_code File ""/home/lee/code/stock/pufferlib_market/evaluate_holdout.py"", line 496, in <module> main() ~~~~^^ File ""/home/lee/code/stock/pufferlib_market/evaluate_holdout.py"", line 394, in main raise ValueError(f""MKTD too short for eval_hours={steps}: timesteps={T}"") V...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.05,8.0,True,True,False,False,none,mlp,0.001,0.005,0.0,0.0,0.0,0.02,0.0,0.99
7,robust_reg_tp005_sds02,a40,val_return,1.2915,1.2915,14.64,0.5846,100.0,26.6095,28.92,0.53,14483456,236.43347358703613,,"Traceback (most recent call last): File ""<frozen runpy>"", line 198, in _run_module_as_main File ""<frozen runpy>"", line 88, in _run_code File ""/home/lee/code/stock/pufferlib_market/evaluate_holdout.py"", line 496, in <module> main() ~~~~^^ File ""/home/lee/code/stock/pufferlib_market/evaluate_holdout.py"", line 394, in main raise ValueError(f""MKTD too short for eval_hours={steps}: timesteps={T}"") V...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.05,8.0,True,True,False,False,none,mlp,0.001,0.005,0.0,0.0,0.2,0.02,0.0,0.99
8,robust_reg_tp005_ent,a40,val_return,-0.5139,-0.5139,-9.52,0.0,0.0,8.2255,22.27,0.53,14483456,235.03640699386597,,"Traceback (most recent call last): File ""<frozen runpy>"", line 198, in _run_module_as_main File ""<frozen runpy>"", line 88, in _run_code File ""/home/lee/code/stock/pufferlib_market/evaluate_holdout.py"", line 496, in <module> main() ~~~~^^ File ""/home/lee/code/stock/pufferlib_market/evaluate_holdout.py"", line 394, in main raise ValueError(f""MKTD too short for eval_hours={steps}: timesteps={T}"") V...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.08,0.05,8.0,True,True,True,False,none,mlp,0.001,0.005,0.0,0.0,0.0,0.02,0.0,0.99
9,kitchen_sink,a40,val_return,-0.6245,-0.6245,-13.28,0.0,0.0,6.8714,74.09,1.0,14483456,234.14537119865417,,"Traceback (most recent call last): File ""<frozen runpy>"", line 198, in _run_module_as_main File ""<frozen runpy>"", line 88, in _run_code File ""/home/lee/code/stock/pufferlib_market/evaluate_holdout.py"", line 496, in <module> main() ~~~~^^ File ""/home/lee/code/stock/pufferlib_market/evaluate_holdout.py"", line 394, in main raise ValueError(f""MKTD too short for eval_hours={steps}: timesteps={T}"") V...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,8.0,True,True,True,True,cosine,mlp,0.001,0.01,0.0,0.2,0.0,0.02,0.0,0.99
