run,trade_penalty,seed,val_return,val_sortino,val_profitable_pct
0,0.05,42,-0.0362,0.71,3.0%
1,0.05,123,+0.1492,1.58,99.0%
2,0.05,7,-0.1639,-0.05,0.0%
3,0.05,2024,-0.1104,0.42,0.0%
4,0.05,314,-0.1168,-0.02,1.0%
5,0.10,42,+0.0228,0.93,67.0%
6,0.10,123,-0.0756,0.57,7.0%
7,0.10,7,-0.1226,0.16,0.0%
8,0.10,2024,-0.0486,0.60,5.0%
9,0.10,314,+0.0820,1.26,97.0%
10,0.15,42,-0.2505,-0.77,0.0%
11,0.15,123,-0.0074,0.66,34.0%
12,0.15,7,-0.1470,-0.40,0.0%
13,0.15,2024,-0.0499,0.44,1.0%
14,0.15,314,+0.2243,2.11,100.0%
15,0.20,42,-0.0005,0.66,47.0%
16,0.20,123,-0.0137,0.56,37.0%
17,0.20,7,+0.0768,1.14,100.0%
18,0.20,2024,+0.0356,0.94,79.0%
19,0.20,314,-0.0441,0.52,7.0%
