description,val_return,val_sortino,val_wr,robust_score,gpu_id,elapsed_s,job_id,timestamp
sortino_notp_sdp005_s1,0.0239,0.26,1.0,0.0239,0,385,b245e429,2026-03-30T22:58:03
sortino_sdp001_s1,0.0,0.0,0.0,0.0,0,422,8ee7e13d,2026-03-30T23:05:04
sortino_notp_sdp01_s1,0.0239,0.26,1.0,0.0239,0,389,8aabb036,2026-03-30T23:11:33
sortino_notp_sdp005_s2,0.0239,0.26,1.0,0.0239,0,401,28b41376,2026-03-30T23:18:14
sortino_sdp001_s2,-0.151,-1.94,0.4231,-0.151,0,403,3191a37e,2026-03-30T23:24:57
sortino_notp_sdp01_s2,0.0616,0.4,0.5862,0.0616,0,398,a3a41221,2026-03-30T23:31:35
sortino_notp_sdp005_s3,-0.3278,-2.39,0.4107,-0.3278,0,390,809bd6ba,2026-03-30T23:38:05
sortino_sdp001_s3,-0.2672,-2.09,0.5179,-0.2672,0,398,80a23c3f,2026-03-30T23:44:43
sortino_notp_sdp01_s3,-0.2709,-0.9,0.4737,-0.2709,0,400,a10e5c17,2026-03-30T23:51:23
sortino_notp_sdp005_s4,0.0239,0.26,1.0,0.0239,0,384,f00a7453,2026-03-30T23:57:47
sortino_sdp001_s4,0.0769,0.83,0.6296,0.0769,0,387,b3bcca24,2026-03-31T00:04:14
sortino_notp_sdp01_s4,0.0239,0.26,1.0,0.0239,0,377,8483b5bd,2026-03-31T00:10:31
sortino_notp_sdp005_s5,-0.1649,-0.63,0.5676,-0.1649,0,387,60548c6e,2026-03-31T00:16:58
sortino_sdp001_s5,-0.2948,-1.41,0.5484,-0.2948,0,397,d61b4cff,2026-03-31T00:23:34
sortino_notp_sdp01_s5,-0.2207,-0.73,0.5156,-0.2207,0,401,272dba76,2026-03-31T00:30:15
sortino_notp_sdp005_s6,-0.1502,-0.8,0.5357,-0.1502,0,401,efa00854,2026-03-31T00:36:56
sortino_sdp001_s6,0.0,0.0,0.0,0.0,0,384,78faedc9,2026-03-31T00:43:20
sortino_notp_sdp01_s6,0.0443,0.3,1.0,0.0443,0,368,fe3e7648,2026-03-31T00:49:28
sortino_notp_sdp005_s7,-0.0545,-0.4,0.537,-0.0545,0,373,34e7b57d,2026-03-31T00:55:41
sortino_sdp001_s7,-0.1612,-1.38,0.4333,-0.1612,0,375,aeddc023,2026-03-31T01:01:56
sortino_notp_sdp01_s7,-0.2368,-1.27,0.4737,-0.2368,0,374,00e99ef0,2026-03-31T01:08:11
sortino_notp_sdp005_s8,0.2278,1.68,0.5294,0.2278,0,364,4f63a5a0,2026-03-31T01:14:14
sortino_sdp001_s8,-0.1389,-1.02,0.4483,-0.1389,0,359,42b65f85,2026-03-31T01:20:13
sortino_notp_sdp01_s8,-0.3083,-1.94,0.4561,-0.3083,0,357,1397315f,2026-03-31T01:26:11
sortino_notp_sdp005_s9,-0.1031,-0.49,0.5263,-0.1031,0,335,05d877e5,2026-03-31T01:31:46
sortino_sdp001_s9,0.1789,1.33,0.5714,0.1789,0,342,4bac3618,2026-03-31T01:37:27
sortino_notp_sdp01_s9,-0.2348,-1.38,0.5,-0.2348,0,355,82395dca,2026-03-31T01:43:22
sortino_notp_sdp005_s10,-0.2179,-1.49,0.4643,-0.2179,0,340,68a75562,2026-03-31T01:49:02
sortino_sdp001_s10,-0.2729,-1.67,0.3226,-0.2729,0,232,8652d8e0,2026-03-31T01:52:54
sortino_notp_sdp01_s10,-0.1728,-0.83,0.5614,-0.1728,0,153,2f813e22,2026-03-31T01:55:27
sortino_notp_sdp005_s11,-0.0343,-0.19,0.5857,-0.0343,0,207,1a23ac5a,2026-03-31T01:58:53
sortino_sdp001_s11,-0.19,-0.49,0.5522,-0.19,0,186,6cc98c6c,2026-03-31T02:02:00
sortino_notp_sdp01_s11,0.008,0.09,0.5,0.008,0,246,30d127de,2026-03-31T02:06:06
sortino_notp_sdp005_s12,-0.1118,-0.55,0.4951,-0.1118,0,191,4b632ca7,2026-03-31T02:09:16
sortino_sdp001_s12,-0.0839,-0.53,0.3333,-0.0839,0,240,ce8bbae5,2026-03-31T02:13:16
sortino_notp_sdp01_s12,0.0258,0.34,0.5604,0.0258,0,187,447821d3,2026-03-31T02:16:23
sortino_notp_sdp005_s13,-0.1587,-0.8,0.5323,-0.1587,0,246,898002a8,2026-03-31T02:20:29
sortino_sdp001_s13,0.3012,2.5,0.3333,0.3012,0,244,f9dde51f,2026-03-31T02:24:33
sortino_notp_sdp01_s13,-0.0266,0.09,0.5345,-0.0266,0,215,06920342,2026-03-31T02:28:07
sortino_notp_sdp005_s14,-0.1652,-0.62,0.5323,-0.1652,0,168,10f7bb8d,2026-03-31T02:30:56
sortino_sdp001_s14,-0.135,-0.88,0.493,-0.135,0,335,9db66455,2026-03-31T02:36:31
sortino_notp_sdp01_s14,-0.0248,0.11,0.5439,-0.0248,0,357,9efda03a,2026-03-31T02:42:28
sortino_notp_sdp005_s15,-0.249,-1.88,0.4035,-0.249,0,349,d81b3e4b,2026-03-31T02:48:17
sortino_sdp001_s15,0.0769,0.83,0.6296,0.0769,0,358,d9fc860c,2026-03-31T02:54:15
sortino_notp_sdp01_s15,-0.0298,-0.07,0.5614,-0.0298,0,354,4ab6580f,2026-03-31T03:00:09
sortino_notp_sdp005_s16,-0.2431,-1.53,0.3966,-0.2431,0,353,d0fe70d5,2026-03-31T03:06:02
sortino_sdp001_s16,0.0239,0.26,1.0,0.0239,0,357,98f2c0ff,2026-03-31T03:11:59
sortino_notp_sdp01_s16,-0.2606,-1.29,0.5,-0.2606,0,369,65509d58,2026-03-31T03:18:08
sortino_notp_sdp005_s17,-0.0437,-0.02,0.0,-0.0437,0,360,1fb5c2cf,2026-03-31T03:24:07
sortino_sdp001_s17,0.0216,0.2,0.5789,0.0216,0,358,271300d8,2026-03-31T03:30:05
sortino_notp_sdp01_s17,-0.3185,-2.11,0.4634,-0.3185,0,361,882cfb84,2026-03-31T03:36:06
sortino_notp_sdp005_s18,-0.0141,0.3,0.5577,-0.0141,0,338,683b4001,2026-03-31T03:41:45
sortino_sdp001_s18,-0.1919,-0.9,0.4912,-0.1919,0,362,e4703111,2026-03-31T03:47:47
sortino_notp_sdp01_s18,-0.2298,-1.25,0.4839,-0.2298,0,356,260779bd,2026-03-31T03:53:43
sortino_notp_sdp005_s19,-0.0933,-0.57,0.5741,-0.0933,0,359,1217101e,2026-03-31T03:59:42
