symbol,side,filled_qty,filled_avg_price,timestamp,type,total_value,realized_pnl,cost_of_sold_shares,cumulative_pnl
LTC/USD,sell,325.596,85.0,2024-05-20 19:14:04.622383+00:00,FILL,27675.66,0.0,0.0,0.0
PYPL,sell_short,1.0,65.0,2024-05-20 19:28:43.050820+00:00,FILL,65.0,0.0,0.0,0.0
PYPL,sell_short,1.0,65.0,2024-05-20 19:28:43.439172+00:00,FILL,65.0,0.0,0.0,0.0
PYPL,buy,2.0,64.36,2024-05-21 13:36:34.003553+00:00,FILL,128.72,0.0,0.0,0.0
MSFT,buy,1.0,427.04,2024-05-21 13:43:18.101781+00:00,FILL,427.04,0.0,0.0,0.0
CRWD,buy,1.0,343.78,2024-05-21 13:45:24.109499+00:00,FILL,343.78,0.0,0.0,0.0
NVDA,buy,1.0,933.91,2024-05-21 13:46:19.606787+00:00,FILL,933.91,0.0,0.0,0.0
NVDA,sell,1.0,943.0,2024-05-21 14:32:58.210205+00:00,FILL,943.0,9.090000000000032,933.91,9.090000000000032
CRWD,sell,1.0,349.09,2024-05-21 14:45:33.180010+00:00,FILL,349.09,5.310000000000002,343.78,14.400000000000034
TSLA,sell_short,1.0,180.01,2024-05-21 15:59:38.574496+00:00,FILL,180.01,0.0,0.0,14.400000000000034
CRWD,sell_short,1.0,350.0,2024-05-21 17:29:00.407616+00:00,FILL,350.0,0.0,0.0,14.400000000000034
LTC/USD,buy,22.835260215,87.0,2024-05-22 04:35:18.658430+00:00,FILL,1986.6676387050002,0.0,0.0,14.400000000000034
LTC/USD,buy,9.193739785,87.0,2024-05-22 04:35:18.674277+00:00,FILL,799.855361295,0.0,0.0,14.400000000000034
LTC/USD,sell,31.991379599,86.8307,2024-05-22 11:42:04.104569+00:00,FILL,2777.833884546889,-5.41614056611092,2783.250025113,8.983859433889114
ETH/USD,buy,3.631,3714.0,2024-05-22 11:58:09.052587+00:00,FILL,13485.534,0.0,0.0,8.983859433889114
NET,buy,2.0,73.72,2024-05-22 13:40:51.411922+00:00,FILL,147.44,0.0,0.0,8.983859433889114
TSLA,buy,1.0,181.85,2024-05-22 14:01:04.866073+00:00,FILL,181.85,0.0,0.0,8.983859433889114
CRWD,buy,1.0,352.0,2024-05-22 14:05:35.384754+00:00,FILL,352.0,0.0,0.0,8.983859433889114
ETH/USD,sell,3.626,3737.0,2024-05-22 14:22:52.839234+00:00,FILL,13550.362,83.398,13466.964,92.3818594338891
NET,sell,1.0,75.0,2024-05-22 19:59:32.138041+00:00,FILL,75.0,1.2800000000000011,73.72,93.6618594338891
NET,sell,1.0,75.01,2024-05-22 19:59:32.838347+00:00,FILL,75.01,1.2900000000000063,73.72,94.95185943388911
LTC/USD,buy,4.968497198,85.0,2024-05-23 16:15:26.099927+00:00,FILL,422.32226182999995,0.0,0.0,94.95185943388911
LTC/USD,buy,17.331502802,85.0,2024-05-23 16:16:18.521078+00:00,FILL,1473.1777381699999,0.0,0.0,94.95185943388911
LTC/USD,buy,11.0,84.0,2024-05-23 18:07:10.612297+00:00,FILL,924.0,0.0,0.0,94.95185943388911
LTC/USD,buy,28.153,84.0,2024-05-23 18:10:56.403909+00:00,FILL,2364.852,0.0,0.0,94.95185943388911
LTC/USD,buy,20.365,84.0,2024-05-23 18:10:56.403911+00:00,FILL,1710.6599999999999,0.0,0.0,94.95185943388911
LTC/USD,buy,5.386,84.0,2024-05-23 18:10:56.428812+00:00,FILL,452.42400000000004,0.0,0.0,94.95185943388911
ETH/USD,buy,3.676,3612.0,2024-05-23 20:00:34.679064+00:00,FILL,13277.712000000001,0.0,0.0,94.95185943388911
ETH/USD,buy,3.665,3554.0,2024-05-23 20:00:37.922580+00:00,FILL,13025.41,0.0,0.0,94.95185943388911
LTC/USD,buy,23.726,81.0,2024-05-23 20:00:40.722426+00:00,FILL,1921.806,0.0,0.0,94.95185943388911
ETH/USD,sell,4.377,3693.466,2024-06-08 10:21:17.941735+00:00,FILL,16166.300682,482.9293392284215,15683.371342771577,577.8811986623106
ETH/USD,sell,2.955,3692.8,2024-06-08 10:21:17.941743+00:00,FILL,10912.224,324.0671990198742,10588.156800980127,901.9483976821848
LTC/USD,sell,49.18,80.071,2024-06-08 10:21:18.722278+00:00,FILL,3937.89178,-171.61588374037825,4109.507663740378,730.3325139418066
LTC/USD,sell,48.54,80.0,2024-06-08 10:21:18.735935+00:00,FILL,3883.2,-172.82891415123942,4056.0289141512394,557.5035997905673
LTC/USD,sell,13.076,80.0,2024-06-08 10:21:18.788589+00:00,FILL,1046.08,-46.55770254309038,1092.6377025430904,510.94589724747686
CRWD,sell_short,1.0,383.24,2024-06-10 13:35:45.711708+00:00,FILL,383.24,0.0,0.0,510.94589724747686
NFLX,buy,6.0,641.59,2024-06-10 13:35:47.028844+00:00,FILL,3849.54,0.0,0.0,510.94589724747686
NFLX,buy,4.0,641.59,2024-06-10 13:35:47.782931+00:00,FILL,2566.36,0.0,0.0,510.94589724747686
NFLX,buy,13.0,641.59,2024-06-10 13:35:48.198666+00:00,FILL,8340.67,0.0,0.0,510.94589724747686
NVDA,buy,1.0,118.96,2024-06-10 13:46:52.506481+00:00,FILL,118.96,0.0,0.0,510.94589724747686
NFLX,sell_short,1.0,641.25,2024-06-10 14:58:57.003816+00:00,FILL,641.25,0.0,0.0,510.94589724747686
TSLA,buy,1.0,174.99,2024-06-10 16:58:35.205283+00:00,FILL,174.99,0.0,0.0,510.94589724747686
PYPL,buy,1.0,65.98,2024-06-10 17:27:11.538853+00:00,FILL,65.98,0.0,0.0,510.94589724747686
PYPL,buy,1.0,65.99,2024-06-10 17:27:12.094057+00:00,FILL,65.99,0.0,0.0,510.94589724747686
ADSK,sell_short,1.0,218.0,2024-06-10 19:10:01.934506+00:00,FILL,218.0,0.0,0.0,510.94589724747686
LTC/USD,buy,0.485,78.0,2024-06-11 01:52:49.897294+00:00,FILL,37.83,0.0,0.0,510.94589724747686
LTC/USD,buy,0.479,75.0,2024-06-11 01:52:54.278862+00:00,FILL,35.925,0.0,0.0,510.94589724747686
ETH/USD,buy,0.83,3647.0,2024-06-11 01:52:57.311627+00:00,FILL,3027.0099999999998,0.0,0.0,510.94589724747686
ETH/USD,sell,0.8298376,3542.5,2024-06-11 09:02:00.564556+00:00,FILL,2939.699698,-85.83888926520486,3025.5385872652046,425.107007982272
LTC/USD,sell,0.963727199,78.792,2024-06-11 09:02:01.385566+00:00,FILL,75.933993463608,1.1729053537910277,74.76108810981698,426.27991333606303
ADSK,buy,1.0,212.55,2024-06-11 13:31:05.775827+00:00,FILL,212.55,0.0,0.0,426.27991333606303
NVDA,sell,1.0,122.0,2024-06-11 13:31:06.350807+00:00,FILL,122.0,3.0400000000000063,118.96,429.31991333606305
NFLX,buy,1.0,643.81,2024-06-11 13:37:42.283204+00:00,FILL,643.81,0.0,0.0,429.31991333606305
NFLX,buy,1.0,642.92,2024-06-11 13:37:48.334031+00:00,FILL,642.92,0.0,0.0,429.31991333606305
PYPL,sell,1.0,66.47,2024-06-11 13:44:33.562280+00:00,FILL,66.47,1.2974999999999994,65.1725,430.61741333606307
PYPL,sell,1.0,66.49,2024-06-11 13:44:34.148714+00:00,FILL,66.49,1.3174999999999955,65.1725,431.93491333606306
TSLA,sell,1.0,169.0,2024-06-11 14:10:22.684913+00:00,FILL,169.0,-9.420000000000016,178.42000000000002,422.51491333606305
ADSK,buy,1.0,209.94,2024-06-11 14:25:29.704994+00:00,FILL,209.94,0.0,0.0,422.51491333606305
